Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
BORGHI,Gilberto,BOL,13,1,3,0,0,0,0,3,0.231,0.231,0.231,0.462,0,0,3,0,0,0,0,0
BORIOTTI,Andrea,COD,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
BOZA CORREA,Carlos Richard,TOR,18,4,5,1,1,0,2,8,0.278,0.444,0.458,0.902,2,4,6,0,0,0,0,0
BRANDI,Francesco,BBC,3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,3,0,0,0,0,0
BRAVO RIQUENE,Humberto,ROV,26,7,8,0,0,0,2,8,0.308,0.308,0.400,0.708,4,0,2,0,0,0,1,1
BRINI,Lorenzo,FIO,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
BUCCHI,Mattia,GOD,3,0,1,0,0,0,3,1,0.333,0.333,0.500,0.833,1,0,0,0,0,0,0,0
BUIN,Enrico,ROV,19,1,3,0,0,0,2,3,0.158,0.158,0.292,0.450,4,0,2,0,1,0,0,0
BURATO,Fabio,VER,26,5,6,2,0,1,5,11,0.231,0.423,0.375,0.798,5,1,11,0,0,0,2,0
BÄCKSTRÖM,Leonard Nils Erik,PAU,14,4,5,1,0,1,3,9,0.357,0.643,0.400,1.043,1,0,3,1,0,0,0,0
CAIAZZO,Antonio,LIN,1,0,0,0,0,0,0,0,0.000,0.000,0.500,0.500,1,0,1,0,0,0,0,0
CAIMMI,Mattia,COD,21,3,3,0,0,0,3,3,0.143,0.143,0.250,0.393,2,1,2,1,0,0,0,0
CALASSO,Simone,SEN,21,7,10,3,0,3,5,22,0.476,1.048,0.560,1.608,2,2,5,0,0,0,2,1
CALCAGNI,Elia,MAC,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
CALCAGNI,Mattia,MAC,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
CALVO,Federico,SET,7,2,1,0,0,0,1,1,0.143,0.143,0.222,0.365,1,0,1,0,1,0,2,0
CALVO,Giorgio,SET,7,3,2,0,0,0,0,2,0.286,0.286,0.500,0.786,2,1,3,0,0,0,1,0
CAMBARAU,Simone,CAG,7,1,1,0,0,0,0,1,0.143,0.143,0.250,0.393,1,0,3,0,0,0,0,0
CAMPAZZI,Simone,MOD,9,1,1,0,0,0,0,1,0.111,0.111,0.200,0.311,1,0,6,0,0,0,0,0
CANACHE SOLER,Roberto Arturo,PAD,25,3,6,1,1,0,3,9,0.240,0.360,0.259,0.619,1,0,4,0,1,0,2,0
CAO,Tommaso,CAG,5,1,1,0,0,0,0,1,0.200,0.200,0.200,0.400,0,0,2,1,0,0,0,0
CAPELLANO,Andrea,MIL,11,2,2,1,0,0,0,3,0.182,0.273,0.357,0.630,2,1,3,0,0,1,0,0
